system:index,active_proportion,activity_label,alert_id,classification,count,label,n_active,n_coca,n_forest,n_historical,n_pixels,region,threat_level,.geo
+3240+5667,0.3111111111111111,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3240+5667,1,1,1,14,0,2,29,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44526033423584,-12.087371136998636]}"
+3240+5681,0.24444444444444444,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3240+5681,1,1,1,11,15,0,19,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44526033423584,-12.150253206887]}"
+3240+5683,0.0,COCA CULTIVATION detected — illegal narcotics production in protected area,+3240+5683,3,1,1,0,26,1,18,45,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44526033423584,-12.159236359728196]}"
+3240+5760,0.0,COCA CULTIVATION detected — illegal narcotics production in protected area,+3240+5760,3,11,1,0,42,0,5,47,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44689363475243,-12.495696266143872]}"
+3240+5767,0.0,COCA CULTIVATION detected — illegal narcotics production in protected area,+3240+5767,3,1,1,0,38,0,0,38,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44526033423584,-12.536528779058395]}"
+3240+5776,0.7333333333333333,HIGH CONFIDENCE: Active Illegal gold mining,+3240+5776,2,2,1,33,0,3,9,45,Madre de Dios,CRITICAL,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44526033423584,-12.574707178633476]}"
+3241+5543,0.3333333333333333,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3241+5543,1,2,1,16,13,0,19,48,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44301454602555,-11.53041566084453]}"
+3241+5545,0.1111111111111111,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3241+5545,1,1,1,5,0,0,40,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44076875781525,-11.539398813685727]}"
+3241+5595,0.0,LOW RISK: Intact forest or RADD false positive,+3241+5595,0,2,1,0,0,47,0,47,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44076875781525,-11.761731846505308]}"
+3241+5599,0.0,LOW RISK: Intact forest or RADD false positive,+3241+5599,0,1,1,0,0,45,0,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44076875781525,-11.781943940397996]}"
+3241+5607,0.022222222222222223,LOW RISK: Intact forest or RADD false positive,+3241+5607,0,1,1,1,0,23,21,45,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44076875781525,-11.817876551762778]}"
+3241+5662,0.041666666666666664,LOW RISK: Intact forest or RADD false positive,+3241+5662,0,9,1,2,0,36,10,48,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44026969376851,-12.05692823014792]}"
+3241+5671,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3241+5671,1,5,1,0,0,20,25,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44705696480409,-12.101744181544545]}"
+3241+5676,0.022222222222222223,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3241+5676,1,1,1,1,0,12,32,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44076875781525,-12.127795324784012]}"
+3241+5689,0.0,COCA CULTIVATION detected — illegal narcotics production in protected area,+3241+5689,3,3,1,0,48,0,1,49,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43927156567504,-12.183191433971382]}"
+3241+5693,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3241+5693,1,4,1,0,0,0,48,48,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44413744013069,-12.201906335723875]}"
+3241+5695,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3241+5695,1,2,1,0,0,0,48,48,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44301454602555,-12.213135276775366]}"
+3241+5739,0.041666666666666664,COCA CULTIVATION detected — illegal narcotics production in protected area,+3241+5739,3,15,1,2,34,0,12,48,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.44915303380036,-12.39399608731143]}"
+3242+5541,0.021739130434782608,COCA CULTIVATION detected — illegal narcotics production in protected area,+3242+5541,3,6,1,1,42,3,0,46,Madre de Dios,HIGH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43627718139464,-11.51768952765284]}"
+3242+5547,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3242+5547,1,1,1,0,0,0,45,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43627718139464,-11.54838196652692]}"
+3242+5571,0.4,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3242+5571,1,1,1,18,8,0,19,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43627718139464,-11.656179800621265]}"
+3242+5580,0.0,LOW RISK: Intact forest or RADD false positive,+3242+5580,0,2,1,0,0,26,22,48,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43852296960495,-11.696603988406642]}"
+3242+5582,0.0,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3242+5582,1,1,1,0,1,7,37,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43627718139464,-11.705587141247838]}"
+3242+5682,0.044444444444444446,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3242+5682,1,1,1,2,8,0,35,45,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43627718139464,-12.154744783307597]}"
+3242+5720,0.10416666666666667,LOW RISK: Intact forest or RADD false positive,+3242+5720,0,2,1,5,0,43,0,48,Madre de Dios,LOW,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43852296960495,-12.325424687290306]}"
+3242+5741,0.11363636363636363,HISTORICAL DISTURBANCE: Abandoned site — possible Illegal gold mining,+3242+5741,1,1,1,5,2,7,30,44,Madre de Dios,MEDIUM,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.43627718139464,-12.419747792122857]}"
